Elba1_merge2chip_given.bed	Elba2_merge2chip_given.bed	Elba3_merge2chip_given.bed	Insv_merge2chip_given.bed	GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed	GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed	GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed	GSM409070_CTCF_N_NO_1_fdr_consecutive_peak_filtered_flank100.bed	GSM409071_GAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed	GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed	GSM409073_suHw_NO_1_fdr_consecutive_peak_filtered_flank100.bed	GSM409074_suHw_pam_NO_1_fdr_consecutive_peak_filtered_flank100.bed	Total	Name
		X			X	X			X	X		1	Elba3_merge2chip_given.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409073_suHw_NO_1_fdr_consecutive_peak_filtered_flank100.bed
X		X	X	X	X			X	X			11	Elba1_merge2chip_given.bed|Elba3_merge2chip_given.bed|Insv_merge2chip_given.bed|GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409071_GAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed
		X	X		X	X			X			2	Elba3_merge2chip_given.bed|Insv_merge2chip_given.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed
X		X	X	X	X			X	X	X		1	Elba1_merge2chip_given.bed|Elba3_merge2chip_given.bed|Insv_merge2chip_given.bed|GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409071_GAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409073_suHw_NO_1_fdr_consecutive_peak_filtered_flank100.bed
		X	X		X	X			X	X		1	Elba3_merge2chip_given.bed|Insv_merge2chip_given.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409073_suHw_NO_1_fdr_consecutive_peak_filtered_flank100.bed
		X	X		X	X			X	X	X	1	Elba3_merge2chip_given.bed|Insv_merge2chip_given.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409073_suHw_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409074_suHw_pam_NO_1_fdr_consecutive_peak_filtered_flank100.bed
		X						X				113	Elba3_merge2chip_given.bed|GSM409071_GAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed
		X						X		X	X	1	Elba3_merge2chip_given.bed|GSM409071_GAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409073_suHw_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409074_suHw_pam_NO_1_fdr_consecutive_peak_filtered_flank100.bed
		X	X					X				70	Elba3_merge2chip_given.bed|Insv_merge2chip_given.bed|GSM409071_GAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed
X								X	X			1	Elba1_merge2chip_given.bed|GSM409071_GAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed
X		X				X		X				1	Elba1_merge2chip_given.bed|Elba3_merge2chip_given.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409071_GAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed
X	X	X	X					X				45	Elba1_merge2chip_given.bed|Elba2_merge2chip_given.bed|Elba3_merge2chip_given.bed|Insv_merge2chip_given.bed|GSM409071_GAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed
				X	X				X			57	GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed
				X	X				X	X		2	GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409073_suHw_NO_1_fdr_consecutive_peak_filtered_flank100.bed
				X	X				X	X	X	8	GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409073_suHw_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409074_suHw_pam_NO_1_fdr_consecutive_peak_filtered_flank100.bed
		X		X	X	X						47	Elba3_merge2chip_given.bed|GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed
		X		X	X	X				X		1	Elba3_merge2chip_given.bed|GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409073_suHw_NO_1_fdr_consecutive_peak_filtered_flank100.bed
			X	X	X				X			10	Insv_merge2chip_given.bed|GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed
			X	X	X				X	X	X	3	Insv_merge2chip_given.bed|GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409073_suHw_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409074_suHw_pam_NO_1_fdr_consecutive_peak_filtered_flank100.bed
		X	X	X	X	X						13	Elba3_merge2chip_given.bed|Insv_merge2chip_given.bed|GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed
X	X	X		X	X	X						6	Elba1_merge2chip_given.bed|Elba2_merge2chip_given.bed|Elba3_merge2chip_given.bed|GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed
		X	X	X	X	X				X		3	Elba3_merge2chip_given.bed|Insv_merge2chip_given.bed|GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409073_suHw_NO_1_fdr_consecutive_peak_filtered_flank100.bed
X	X	X	X	X	X	X						20	Elba1_merge2chip_given.bed|Elba2_merge2chip_given.bed|Elba3_merge2chip_given.bed|Insv_merge2chip_given.bed|GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed
	X											18	Elba2_merge2chip_given.bed
X	X	X	X	X	X	X				X		1	Elba1_merge2chip_given.bed|Elba2_merge2chip_given.bed|Elba3_merge2chip_given.bed|Insv_merge2chip_given.bed|GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409073_suHw_NO_1_fdr_consecutive_peak_filtered_flank100.bed
X	X	X	X	X	X	X				X	X	1	Elba1_merge2chip_given.bed|Elba2_merge2chip_given.bed|Elba3_merge2chip_given.bed|Insv_merge2chip_given.bed|GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409073_suHw_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409074_suHw_pam_NO_1_fdr_consecutive_peak_filtered_flank100.bed
						X						166	GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed
						X					X	1	GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409074_suHw_pam_NO_1_fdr_consecutive_peak_filtered_flank100.bed
	X		X									1	Elba2_merge2chip_given.bed|Insv_merge2chip_given.bed
						X				X		1	GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409073_suHw_NO_1_fdr_consecutive_peak_filtered_flank100.bed
						X				X	X	2	GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409073_suHw_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409074_suHw_pam_NO_1_fdr_consecutive_peak_filtered_flank100.bed
			X			X						7	Insv_merge2chip_given.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed
		X						X	X			14	Elba3_merge2chip_given.bed|GSM409071_GAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed
X	X		X		X	X	X		X			1	Elba1_merge2chip_given.bed|Elba2_merge2chip_given.bed|Insv_merge2chip_given.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409070_CTCF_N_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed
		X	X					X	X			15	Elba3_merge2chip_given.bed|Insv_merge2chip_given.bed|GSM409071_GAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed
X	X	X	X					X	X			9	Elba1_merge2chip_given.bed|Elba2_merge2chip_given.bed|Elba3_merge2chip_given.bed|Insv_merge2chip_given.bed|GSM409071_GAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed
		X	X		X							46	Elba3_merge2chip_given.bed|Insv_merge2chip_given.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed
		X	X		X					X	X	1	Elba3_merge2chip_given.bed|Insv_merge2chip_given.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409073_suHw_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409074_suHw_pam_NO_1_fdr_consecutive_peak_filtered_flank100.bed
X		X	X			X		X	X			1	Elba1_merge2chip_given.bed|Elba3_merge2chip_given.bed|Insv_merge2chip_given.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409071_GAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed
		X		X	X	X			X			9	Elba3_merge2chip_given.bed|GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed
		X		X	X	X			X	X	X	1	Elba3_merge2chip_given.bed|GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409073_suHw_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409074_suHw_pam_NO_1_fdr_consecutive_peak_filtered_flank100.bed
		X	X	X		X	X					4	Elba3_merge2chip_given.bed|Insv_merge2chip_given.bed|GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409070_CTCF_N_NO_1_fdr_consecutive_peak_filtered_flank100.bed
X		X	X		X	X						3	Elba1_merge2chip_given.bed|Elba3_merge2chip_given.bed|Insv_merge2chip_given.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed
		X	X	X	X	X			X			5	Elba3_merge2chip_given.bed|Insv_merge2chip_given.bed|GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed
X		X	X		X	X				X		1	Elba1_merge2chip_given.bed|Elba3_merge2chip_given.bed|Insv_merge2chip_given.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409073_suHw_NO_1_fdr_consecutive_peak_filtered_flank100.bed
		X	X	X	X	X			X	X	X	1	Elba3_merge2chip_given.bed|Insv_merge2chip_given.bed|GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409073_suHw_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409074_suHw_pam_NO_1_fdr_consecutive_peak_filtered_flank100.bed
		X		X				X				12	Elba3_merge2chip_given.bed|GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409071_GAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed
X	X	X	X	X	X	X			X			8	Elba1_merge2chip_given.bed|Elba2_merge2chip_given.bed|Elba3_merge2chip_given.bed|Insv_merge2chip_given.bed|GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed
X	X	X	X	X	X	X			X	X	X	1	Elba1_merge2chip_given.bed|Elba2_merge2chip_given.bed|Elba3_merge2chip_given.bed|Insv_merge2chip_given.bed|GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409073_suHw_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409074_suHw_pam_NO_1_fdr_consecutive_peak_filtered_flank100.bed
		X	X	X				X				8	Elba3_merge2chip_given.bed|Insv_merge2chip_given.bed|GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409071_GAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed
X	X	X		X				X				2	Elba1_merge2chip_given.bed|Elba2_merge2chip_given.bed|Elba3_merge2chip_given.bed|GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409071_GAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed
						X			X			11	GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed
						X			X		X	1	GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409074_suHw_pam_NO_1_fdr_consecutive_peak_filtered_flank100.bed
						X			X	X		1	GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409073_suHw_NO_1_fdr_consecutive_peak_filtered_flank100.bed
						X			X	X	X	1	GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409073_suHw_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409074_suHw_pam_NO_1_fdr_consecutive_peak_filtered_flank100.bed
X		X		X		X		X				1	Elba1_merge2chip_given.bed|Elba3_merge2chip_given.bed|GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409071_GAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed
X	X	X	X	X				X				8	Elba1_merge2chip_given.bed|Elba2_merge2chip_given.bed|Elba3_merge2chip_given.bed|Insv_merge2chip_given.bed|GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409071_GAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed
					X	X	X	X				5	GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409070_CTCF_N_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409071_GAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed
			X			X			X			6	Insv_merge2chip_given.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed
					X	X	X	X		X	X	1	GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409070_CTCF_N_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409071_GAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409073_suHw_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409074_suHw_pam_NO_1_fdr_consecutive_peak_filtered_flank100.bed
			X			X			X	X	X	1	Insv_merge2chip_given.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409073_suHw_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409074_suHw_pam_NO_1_fdr_consecutive_peak_filtered_flank100.bed
			X		X	X	X	X				2	Insv_merge2chip_given.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409070_CTCF_N_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409071_GAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed
				X		X						19	GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed
				X		X				X		1	GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409073_suHw_NO_1_fdr_consecutive_peak_filtered_flank100.bed
					X		X					21	GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409070_CTCF_N_NO_1_fdr_consecutive_peak_filtered_flank100.bed
					X		X			X	X	2	GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409070_CTCF_N_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409073_suHw_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409074_suHw_pam_NO_1_fdr_consecutive_peak_filtered_flank100.bed
		X	X		X				X			4	Elba3_merge2chip_given.bed|Insv_merge2chip_given.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed
		X	X		X				X	X	X	1	Elba3_merge2chip_given.bed|Insv_merge2chip_given.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409073_suHw_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409074_suHw_pam_NO_1_fdr_consecutive_peak_filtered_flank100.bed
		X	X	X		X	X		X			7	Elba3_merge2chip_given.bed|Insv_merge2chip_given.bed|GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409070_CTCF_N_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed
		X	X	X		X	X		X	X	X	1	Elba3_merge2chip_given.bed|Insv_merge2chip_given.bed|GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409070_CTCF_N_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409073_suHw_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409074_suHw_pam_NO_1_fdr_consecutive_peak_filtered_flank100.bed
X		X						X				30	Elba1_merge2chip_given.bed|Elba3_merge2chip_given.bed|GSM409071_GAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed
		X		X				X	X			2	Elba3_merge2chip_given.bed|GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409071_GAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed
X		X	X					X				67	Elba1_merge2chip_given.bed|Elba3_merge2chip_given.bed|Insv_merge2chip_given.bed|GSM409071_GAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed
X		X	X					X			X	2	Elba1_merge2chip_given.bed|Elba3_merge2chip_given.bed|Insv_merge2chip_given.bed|GSM409071_GAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409074_suHw_pam_NO_1_fdr_consecutive_peak_filtered_flank100.bed
		X	X	X				X	X			3	Elba3_merge2chip_given.bed|Insv_merge2chip_given.bed|GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409071_GAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed
X		X	X					X		X	X	1	Elba1_merge2chip_given.bed|Elba3_merge2chip_given.bed|Insv_merge2chip_given.bed|GSM409071_GAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409073_suHw_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409074_suHw_pam_NO_1_fdr_consecutive_peak_filtered_flank100.bed
		X		X	X							323	Elba3_merge2chip_given.bed|GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed
		X		X	X					X		4	Elba3_merge2chip_given.bed|GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409073_suHw_NO_1_fdr_consecutive_peak_filtered_flank100.bed
X	X	X	X	X				X	X			3	Elba1_merge2chip_given.bed|Elba2_merge2chip_given.bed|Elba3_merge2chip_given.bed|Insv_merge2chip_given.bed|GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409071_GAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed
		X	X	X	X							108	Elba3_merge2chip_given.bed|Insv_merge2chip_given.bed|GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed
		X	X	X	X						X	1	Elba3_merge2chip_given.bed|Insv_merge2chip_given.bed|GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409074_suHw_pam_NO_1_fdr_consecutive_peak_filtered_flank100.bed
					X	X	X	X	X			8	GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409070_CTCF_N_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409071_GAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed
					X	X	X	X	X	X	X	6	GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409070_CTCF_N_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409071_GAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409072_MDJ4_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409073_suHw_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409074_suHw_pam_NO_1_fdr_consecutive_peak_filtered_flank100.bed
X		X		X	X	X						15	Elba1_merge2chip_given.bed|Elba3_merge2chip_given.bed|GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409069_CTCF_C_NO_1_fdr_consecutive_peak_filtered_flank100.bed
X	X	X	X	X	X							105	Elba1_merge2chip_given.bed|Elba2_merge2chip_given.bed|Elba3_merge2chip_given.bed|Insv_merge2chip_given.bed|GSM409067_BEAF_NO_1_fdr_consecutive_peak_filtered_flank100.bed|GSM409068_CP190_NO_1_fdr_consecutive_peak_filtered_flank100.bed
